,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,-33.69,-53.46,53.51,91,53,3.8
1,Hasaki,35.73,140.83,77.0,69,75,6.93
2,Sao Filipe,14.9,-24.5,72.05,87,47,14.47
3,Jamestown,-33.21,138.6,57.29,69,85,17.58
4,Fuerte Olimpo,-21.04,-57.87,65.57,56,0,4.23
5,Ushuaia,-54.81,-68.31,37.4,86,75,3.13
6,Lebu,8.96,38.73,55.4,82,40,6.93
7,Marystown,47.17,-55.16,45.77,90,67,6.73
8,Nsunga,-1.13,31.39,73.4,73,20,9.17
9,Nanortalik,60.14,-45.24,38.03,93,13,0.4
10,Ouesso,1.61,16.05,68.63,98,100,2.84
11,Juba,57.82,26.93,55.0,93,97,6.93
12,Metro,-5.11,105.31,82.31,70,63,4.25
13,Yellowknife,62.45,-114.38,51.8,71,40,8.05
14,Bluff,-23.58,149.07,73.85,44,3,8.25
15,Rikitea,-23.12,-134.97,73.49,81,13,17.72
16,Neiafu,-18.65,-173.98,75.2,94,40,3.36
17,Inhambane,-23.87,35.38,65.03,64,0,3.47
18,Sisimiut,66.94,-53.67,40.37,91,90,10.92
19,Clyde River,70.47,-68.59,46.4,81,1,4.7
20,Wismar,53.89,11.46,62.01,71,40,2.24
21,Tuktoyaktuk,69.44,-133.03,41.0,93,90,13.87
22,Cubuk,40.24,33.03,70.0,64,40,9.17
23,Bayan,36.1,102.26,55.13,70,100,7.4
24,Punta Arenas,-53.16,-70.91,37.4,93,90,8.05
25,Vostok,46.45,135.83,78.89,60,99,4.76
26,Nikolskoye,59.7,30.79,53.01,62,40,8.95
27,Manadhoo,5.77,73.38,84.11,64,100,4.0
28,Malchevskaya,49.06,40.36,69.35,48,100,5.41
29,San Andres,13.32,122.68,91.49,55,28,3.87
30,Upington,-28.46,21.24,44.6,52,0,6.93
31,New Norfolk,-42.78,147.06,55.4,50,75,13.87
32,Hermanus,-34.42,19.24,51.01,94,0,1.01
33,Mar del Plata,-46.43,-67.52,40.91,84,41,6.06
34,Mahebourg,-20.41,57.7,75.99,78,40,2.24
35,Albany,42.65,-73.75,73.4,69,1,1.34
36,Abonnema,4.71,6.79,73.67,94,95,5.7
37,Cape Town,-33.93,18.42,51.01,100,0,1.12
38,Pevek,69.7,170.27,55.13,58,0,13.22
39,Saint-Philippe,45.36,-73.48,75.0,73,75,4.7
40,Beitbridge,-22.21,29.99,64.49,40,0,2.84
41,Meulaboh,4.14,96.13,84.83,65,76,5.88
42,Nantucket,41.28,-70.1,72.0,93,90,6.98
43,Port Hawkesbury,45.62,-61.36,57.0,82,75,12.75
44,Klaksvik,62.23,-6.59,53.6,93,100,4.7
45,Saint George,39.45,22.34,71.01,77,75,13.87
46,Saskylakh,71.97,114.09,66.65,41,81,6.31
47,Pacific Grove,36.62,-121.92,66.2,72,1,5.82
48,Noumea,-22.28,166.46,73.4,64,0,8.05
49,Kapaa,22.08,-159.32,80.6,74,40,11.41
50,Richards Bay,-28.77,32.06,64.85,82,5,6.38
51,Gaffney,35.07,-81.65,78.01,88,1,1.23
52,Tura,64.27,100.22,59.63,82,100,10.76
53,Barrow,-38.31,-60.23,47.03,86,100,4.34
54,Margate,-43.03,147.26,55.4,50,75,13.87
55,Vaini,15.34,74.49,75.2,88,75,6.93
56,Upernavik,72.79,-56.15,41.99,79,69,4.36
57,Herbertpur,30.44,77.74,82.4,83,90,5.82
58,Pacasmayo,-7.4,-79.57,62.69,89,0,11.61
59,New Castle,41.0,-80.35,78.8,94,75,4.12
60,Kavaratti,10.57,72.64,83.57,82,100,12.55
61,Byron Bay,-28.65,153.62,75.2,37,0,12.75
62,Victoria,5.28,115.24,89.6,66,75,3.36
63,Bredasdorp,-34.53,20.04,39.2,93,0,3.36
64,Comodoro Rivadavia,-45.87,-67.48,41.0,93,0,3.94
65,West Wendover,40.74,-114.07,80.6,21,1,5.06
66,Eravur,7.77,81.61,89.33,58,100,7.4
67,Traiguen,-38.25,-72.68,43.25,92,68,2.59
68,Port Alfred,-33.59,26.89,53.01,80,0,1.99
69,Port Lincoln,-34.72,135.86,58.19,76,66,30.87
70,Lavrentiya,65.58,-170.99,70.79,32,5,5.79
71,Banda Aceh,5.56,95.32,84.47,74,99,10.92
72,Mataura,-46.19,168.86,50.0,86,26,3.98
73,Marapanim,-0.71,-47.7,80.87,75,34,15.86
74,Emerald,-23.53,148.16,75.0,38,0,8.05
75,Calabar,4.98,8.34,72.59,96,100,0.47
76,San Carlos de Bariloche,-41.13,-71.31,32.0,94,40,4.79
77,Warrington,53.39,-2.59,63.0,93,75,3.36
78,Lisala,2.15,21.52,70.07,93,100,2.51
79,Labuhan,-2.54,115.51,85.91,70,82,1.03
80,Geraldton,49.72,-86.95,53.6,100,90,12.75
81,Ponta do Sol,-20.63,-46.0,51.17,70,0,2.37
82,Komsomolskiy,67.55,63.78,64.67,75,83,15.26
83,Severo-Kurilsk,50.68,156.12,42.89,97,100,21.45
84,Corpus Christi,27.8,-97.4,82.99,88,1,5.82
85,Tasiilaq,65.61,-37.64,42.8,75,82,6.93
86,Poum,41.28,20.71,55.4,62,0,11.41
87,Calama,-22.46,-68.93,42.8,26,0,21.92
88,Santa Cruz,-6.22,-36.02,66.83,94,61,4.56
89,Beloha,-25.17,45.06,68.81,66,37,7.14
90,Lazaro Cardenas,28.39,-105.62,78.01,52,62,5.99
91,Ribeira Grande,38.52,-28.7,69.71,87,0,5.21
92,Grande Prairie,55.17,-118.79,55.4,100,90,3.36
93,Ustka,54.58,16.86,61.07,80,0,0.81
94,Takhatgarh,25.32,73.0,89.51,54,98,23.96
95,Sola,-3.17,33.8,72.23,56,17,10.04
96,Ulaangom,49.98,92.07,64.85,57,100,11.95
97,Meliki,40.52,22.4,66.99,72,40,19.46
98,Kodiak,39.95,-94.76,72.0,46,1,6.93
99,Busselton,-33.64,115.35,66.0,49,93,12.12
100,Chokurdakh,70.62,147.9,78.89,37,37,8.23
101,Airai,-8.93,125.41,83.75,48,91,3.18
102,Avarua,-21.21,-159.78,73.4,83,81,4.7
103,Tiksi,71.64,128.87,55.49,54,100,6.33
104,Norman Wells,65.28,-126.83,66.2,55,90,9.17
105,Atuona,-9.8,-139.03,80.69,80,18,17.76
106,Ust-Kuyga,70.0,135.55,78.71,34,67,11.65
107,Rio Gallegos,-51.62,-69.22,40.01,98,100,8.34
108,Hashtrud,37.48,47.05,74.03,33,0,7.47
109,Grenville,45.62,-74.6,77.0,82,75,4.7
110,Carnarvon,-30.97,22.13,49.73,31,0,9.73
111,Okhotsk,59.36,143.24,64.85,66,86,11.23
112,Natal,-5.81,-35.21,73.4,88,40,6.93
113,Narsaq,60.91,-46.05,44.6,81,50,2.24
114,Panacan,7.15,125.66,90.0,70,75,5.82
115,Thunder Bay,48.41,-89.26,62.6,63,5,11.41
116,Arraial do Cabo,-22.97,-42.02,62.51,80,33,11.81
117,Port Augusta,-32.49,137.76,62.6,67,75,19.46
118,Kang,-23.67,22.79,51.53,38,0,5.91
119,Thompson,55.74,-97.86,51.8,76,75,2.24
120,Yumen,40.29,97.04,90.05,12,99,22.19
121,Quang Ngai,15.12,108.8,97.25,35,100,3.13
122,Bacungan,9.87,118.73,87.8,70,75,4.7
123,Wewak,-3.55,143.63,80.15,75,99,4.85
124,Puerto Ayora,-0.74,-90.35,70.0,92,33,1.01
125,Mugur-Aksy,50.38,90.44,39.83,93,100,11.7
126,Castro,-42.48,-73.76,42.8,100,90,9.17
127,Sept-Iles,50.2,-66.38,53.01,76,20,5.82
128,Riachao das Neves,-11.75,-44.91,63.23,62,48,0.51
129,Koslan,63.46,48.9,44.69,94,100,8.48
130,Esperance,-33.86,121.89,60.8,72,75,16.11
131,Iracoubo,5.48,-53.21,72.41,96,81,3.8
132,Ugoofaaru,5.67,73.0,84.47,64,100,3.91
133,Inirida,3.87,-67.92,70.79,98,38,2.37
134,Joppatowne,39.42,-76.36,77.0,78,1,6.38
135,Baicheng,45.61,122.87,86.81,44,99,3.31
136,Idritsa,56.33,28.9,54.77,87,100,4.74
137,Gonzalez,-42.79,-65.06,50.63,64,67,13.35
138,Bambous Virieux,-20.34,57.76,75.99,78,40,2.24
139,Hithadhoo,-0.6,73.08,84.65,74,100,10.85
140,Port Hedland,-20.31,118.58,84.2,13,100,18.34
141,Alyangula,-13.85,136.42,80.6,57,63,9.17
142,Vao,59.1,26.19,55.85,65,100,9.15
143,Harper,30.3,-99.24,75.99,69,90,13.87
144,Rodrigues Alves,-7.74,-72.65,71.6,94,0,1.1
145,Torbay,47.66,-52.73,48.0,100,90,5.82
146,Terrace,54.52,-128.61,62.6,82,90,11.41
147,Sorong,-0.86,131.25,79.07,85,100,9.28
148,Nuevo Progreso,26.05,-97.95,82.99,78,1,6.93
149,Qaanaaq,77.48,-69.36,39.65,68,91,3.11
150,East London,-33.02,27.91,50.0,93,0,5.82
151,Mount Gambier,-37.83,140.78,55.4,71,75,25.28
152,Lagoa,37.14,-8.45,72.0,60,0,5.82
153,Hilo,19.71,-155.08,80.01,74,40,3.36
154,Faya,18.39,42.45,77.0,40,5,6.93
155,Damietta,31.42,31.81,82.49,69,0,6.11
156,Naze,5.43,7.07,71.69,98,90,1.01
157,Malartic,48.14,-78.13,68.0,82,20,4.7
158,Morondava,-20.3,44.28,70.43,66,0,14.27
159,San Quintin,17.54,120.52,85.91,71,26,8.72
160,Fairhope,30.52,-87.9,81.0,100,1,10.78
161,Kruisfontein,-34.0,24.73,56.93,35,0,9.55
162,Port Elizabeth,39.31,-74.98,75.2,77,1,5.08
163,Port Hardy,50.7,-127.42,60.8,93,75,2.24
164,Dingle,11.0,122.67,88.07,60,16,4.59
165,Dobson,-42.45,171.31,54.41,71,65,5.06
166,Tuatapere,-46.13,167.69,50.0,86,3,12.55
167,Butaritari,3.07,172.79,85.91,63,67,4.29
168,Piacabucu,-10.41,-36.43,74.39,87,57,12.93
169,Marawi,8.0,124.29,84.0,78,49,7.0
170,Arecibo,18.47,-66.72,81.0,88,40,4.7
171,Vestmannaeyjar,63.44,-20.27,52.61,78,96,11.39
172,Cidreira,-30.17,-50.22,58.55,74,100,5.1
173,Broome,52.47,1.45,63.0,93,75,5.82
174,Cherskiy,68.75,161.3,82.85,29,58,5.06
175,Lorengau,-2.02,147.27,81.23,75,100,10.83
176,Srednekolymsk,67.46,153.71,83.03,27,53,2.21
177,Bethel,60.79,-161.76,71.6,73,90,10.29
178,Samarai,-10.62,150.67,73.67,79,98,9.84
179,Vila Velha,-3.71,-38.6,77.0,78,0,6.93
180,Shulan,44.41,126.94,81.23,59,90,5.7
181,Tehri,30.38,78.48,82.4,83,90,5.82
182,Kavieng,-2.57,150.8,83.21,74,50,13.22
183,Luderitz,-26.65,15.16,59.0,65,0,6.93
184,Yenagoa,4.92,6.26,73.13,95,93,3.53
185,Georgetown,6.8,-58.16,73.4,100,20,4.7
186,Hounde,11.5,-3.52,72.23,92,0,5.14
187,Bahia Honda,22.9,-83.16,80.33,74,100,6.89
188,Kabwe,-14.44,28.44,55.49,62,15,7.94
189,Auki,12.18,6.51,72.77,86,40,14.97
190,Kidal,18.44,1.41,88.61,30,80,6.42
191,Vyshestebliyevskaya,45.2,37.0,68.0,82,20,6.71
192,Chalisgaon,20.46,75.0,85.37,63,97,19.91
193,Longyearbyen,78.22,15.63,44.6,87,75,2.24
